category,item,path,size_kb,size_gib,notes
non-go-projects,Projects/silero-tts,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/silero-tts,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB"
non-go-projects,Projects/speech-pattern-detector,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/speech-pattern-detector,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB"
project,known-responsive-total,selected ~/go/src migration entries,1458032,1.39,"Lower bound only; excludes entries that timed out during SMB size scan"
project,.claude,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.claude,8,0.00,"Remote-only go/src entry"
project,.wrangler,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.wrangler,8,0.00,"Remote-only go/src entry"
project,ShowProfit,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/ShowProfit,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB; copy with rsync stats for exact size"
project,customer-insights,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/customer-insights,16012,0.02,"Remote-only"
project,dailydev_hackaton,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/dailydev_hackaton,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,encoding-json-v2-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/encoding-json-v2-proof,15948,0.02,"Remote-only"
project,fret,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/fret,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,graphql-go-tools-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/graphql-go-tools-proof,164996,0.16,"Remote-only"
project,graphql-go-tools-proof-bin,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/graphql-go-tools-proof-bin,51484,0.05,"Remote-only"
project,graphql-go-tools-proof-workspace,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/graphql-go-tools-proof-workspace,4,0.00,"Remote-only empty workspace"
project,jsonparser,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/jsonparser,12124,0.01,"Remote-only"
project,jsonparser-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/jsonparser-proof,51456,0.05,"Remote-only"
project,kubernetes,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/kubernetes,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,libxml2,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/libxml2,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,libxml2-gnome-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/libxml2-gnome-proof,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,libxml2-pr-compatible,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/libxml2-pr-compatible,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,license-analysis,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/license-analysis,492,0.00,"Remote-only"
project,list-docker-cves,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/list-docker-cves,186664,0.18,"Remote-only"
project,probe,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/probe,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,proof-action,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/proof-action,440,0.00,"Remote-only"
project,proof-coverage,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/proof-coverage,512,0.00,"Remote-only"
project,proof-solidity-demo,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/proof-solidity-demo,31068,0.03,"Remote-only"
project,reqforge,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,reqforge-release-proof-fix,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-release-proof-fix,214372,0.20,"Remote-only worktree"
project,reqforge-worktrees,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-worktrees,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,reqforge-wt-signals-cli,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-wt-signals-cli,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,reqforge-wt-signals-core,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-wt-signals-core,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,reqforge-wt-signals-fixtures,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-wt-signals-fixtures,233560,0.22,"Remote-only worktree"
project,reqforge-wt-signals-workflow,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqforge-wt-signals-workflow,TIMEOUT,UNKNOWN,"Timed out after 20s over SMB"
project,reqproof-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqproof-proof,8,0.00,"Remote-only"
project,testkube-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/testkube-proof,48272,0.05,"Remote-only"
project,tyk-proof,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/tyk-proof,307936,0.29,"Remote-only"
project,tyk-analytics,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/tyk-analytics,TIMEOUT,UNKNOWN,"Existing divergent repo; copy side-by-side"
project,tyk-sink,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/tyk-sink,122668,0.12,"Existing divergent repo; copy side-by-side"
skip,node_modules,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/node_modules,TIMEOUT,UNKNOWN,"Top-level dependency cache; do not copy; local node_modules measured 246112 KB"
skip,.DS_Store,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.DS_Store,24,0.00,"Finder metadata; do not copy"
recommendation,minimum-reserve,project set + Claude + Codex without raw Codex log,52428800,50.00,"Practical reserve; includes unknown timed-out project dirs and excludes .codex/log"
recommendation,full-reserve,project set + Claude + full Codex including raw logs,83886080,80.00,"Safer reserve if copying .codex/log and all timed-out project dirs"
