priority,area,source_path,destination_path,status,branch,head,dirty_summary,recommended_action
P3,nested-github,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/github.com/spf13/cast,/Users/leonidbugaev/go/src/github.com/spf13/cast,remote-only-nested,detached,fc73346,clean,copy-if-needed
P3,nested-github,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/github.com/tidwall/gjson,/Users/leonidbugaev/go/src/github.com/tidwall/gjson,remote-only-nested,detached,133f42c,clean,copy-if-needed
P3,config,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.claude,/Users/leonidbugaev/go/src/.claude,remote-only,unknown,unknown,"1 entry",copy-if-needed
P3,config,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.wrangler,/Users/leonidbugaev/go/src/.wrangler,remote-only,unknown,unknown,"1 entry",copy-if-needed
P3,binary-artifact,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/graphql-go-tools-proof-bin,/Users/leonidbugaev/go/src/graphql-go-tools-proof-bin,remote-only,unknown,unknown,"1 entry",copy-if-needed
P3,workspace,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/graphql-go-tools-proof-workspace,/Users/leonidbugaev/go/src/graphql-go-tools-proof-workspace,remote-only,unknown,unknown,"0 entries",skip-or-copy-empty-dir
P3,proof-artifact,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/jsonparser-proof,/Users/leonidbugaev/go/src/jsonparser-proof,remote-only,unknown,unknown,"1 entry",copy-if-needed
P3,proof-artifact,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/reqproof-proof,/Users/leonidbugaev/go/src/reqproof-proof,remote-only,unknown,unknown,"1 entry",copy-if-needed
P3,proof-artifact,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/tyk-proof,/Users/leonidbugaev/go/src/tyk-proof,remote-only,unknown,unknown,"19 entries",copy-if-needed
SKIP,generated-dependency,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/node_modules,/Users/leonidbugaev/go/src/node_modules,exists-both,none,none,"top-level dependency cache; local copy already exists",skip-reinstall-if-needed
SKIP,finder-metadata,/Volumes/Macintosh HD-1/Users/leonidbugaev/go/src/.DS_Store,/Users/leonidbugaev/go/src/.DS_Store,exists-both,none,none,"macOS Finder metadata",skip
