priority,location,filename,remote_path,size_bytes,modified,recommended_action,reason
P1,Downloads,Technical_Report_Copilot_FRET (4).pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Technical_Report_Copilot_FRET (4).pdf,2721295,"2026-04-10 18:19",copy,"FRET/requirements research reference"
P1,Downloads,Technical_Report_Copilot_FRET (4) (1).pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Technical_Report_Copilot_FRET (4) (1).pdf,2721295,"2026-04-11 09:55",copy-if-needed,"Duplicate FRET research reference"
P1,Downloads,Technical_Report_Copilot_FRET (4) (2).pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Technical_Report_Copilot_FRET (4) (2).pdf,2721295,"2026-04-12 09:13",copy-if-needed,"Duplicate FRET research reference"
P1,Downloads,FretRequirements.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/FretRequirements.pdf,2402295,"2026-04-12 09:15",copy,"FRET/requirements research"
P1,Downloads,FretRequirements (1).pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/FretRequirements (1).pdf,3086646,"2026-04-12 09:15",copy-if-needed,"Duplicate FRET/requirements research"
P1,Downloads,FRET-SWS-May2020.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/FRET-SWS-May2020.pdf,2226182,"2026-04-12 09:16",copy,"FRET/requirements research"
P1,Downloads,FRET2021Sfymmhv2.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/FRET2021Sfymmhv2.pdf,2094093,"2026-04-12 09:15",copy,"FRET/requirements research"
P1,Downloads,TechnicalReport_NASA_FRET_PLCverif.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/TechnicalReport_NASA_FRET_PLCverif.pdf,1888873,"2026-04-12 09:15",copy,"NASA/FRET research"
P1,Downloads,FINAL NFM23_NASA_FRET_PLCverif.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/FINAL NFM23_NASA_FRET_PLCverif.pdf,503198,"2026-04-12 09:14",copy,"NASA/FRET research"
P1,Downloads,TechnicalReport__FRET_Realizability_Checking.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/TechnicalReport__FRET_Realizability_Checking.pdf,1001971,"2026-04-12 09:14",copy,"FRET research"
P1,Downloads,TechnicalReport__Unrealizability_in_FRET_FSESubmission.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/TechnicalReport__Unrealizability_in_FRET_FSESubmission.pdf,1363185,"2026-04-12 09:14",copy,"FRET research"
P1,Downloads,nasa-engineering-for-software.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/nasa-engineering-for-software.pdf,242719456,"2026-03-23 18:03",copy-if-needed,"Large NASA software engineering reference"
P1,Downloads,nasa.pptx,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/nasa.pptx,24868196,"2026-03-21 15:34",copy-if-needed,"NASA/FRET presentation/reference"
P1,Downloads,claude-code-main.zip,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/claude-code-main.zip,9883266,"2026-03-31 15:06",copy-if-needed,"Claude Code source/archive; likely optional"
P1,Downloads,clusterfuzz-testcase-minimized-fuzzdelete-4649128545288192,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/clusterfuzz-testcase-minimized-fuzzdelete-4649128545288192,12,"2026-05-01 16:04",copy-if-needed,"Fuzzing testcase related to jsonparser/libxml work"
P1,Downloads,clusterfuzz-testcase-minimized-fuzzdelete-4649128545288192 (1),/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/clusterfuzz-testcase-minimized-fuzzdelete-4649128545288192 (1),12,"2026-05-01 16:29",copy-if-needed,"Duplicate fuzzing testcase"
P2,Downloads,client_secret_785208361076-u07aqufl8s5kbe7n7p5olch3947jd13t.apps.googleusercontent.com.json,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/client_secret_785208361076-u07aqufl8s5kbe7n7p5olch3947jd13t.apps.googleusercontent.com.json,623,"2026-02-27 19:09",secure-review,"Sensitive credential-looking file; copy only if still needed and store securely"
P2,Downloads,client_secret_15850688632-8e4ud782ckceibi3ob74d2lptm0pk6tp.apps.googleusercontent.com.json,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/client_secret_15850688632-8e4ud782ckceibi3ob74d2lptm0pk6tp.apps.googleusercontent.com.json,410,"2026-02-02 17:31",secure-review,"Sensitive credential-looking file; copy only if still needed and store securely"
P2,Downloads,leo-engineering-399110-24636c8a1db2.json,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/leo-engineering-399110-24636c8a1db2.json,2372,"2026-02-02 14:30",secure-review,"Sensitive service-account-looking file; copy only if still needed and store securely"
P2,Downloads,leo-engineering-399110-d8363648c808.json,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/leo-engineering-399110-d8363648c808.json,2372,"2026-01-29 14:47",secure-review,"Sensitive service-account-looking file; copy only if still needed and store securely"
P2,Downloads,authenticator (1).txt,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/authenticator (1).txt,1879,"2026-05-16 20:47",secure-review,"Sensitive authenticator-looking file; copy only if still needed and store securely"
SKIP,Desktop,top-level Desktop entries,/Volumes/Macintosh HD-1/Users/leonidbugaev/Desktop,,,"skip","Remote Desktop top-level entries are already present locally; recent items are screenshots and app bundles"
